benchmark	path	metric	runs	min_ms	median_ms	max_ms	mean_ms	values_ms
fixture-cross-module-let	test/programs/packages/cross-module-let	program.cli.parse-args	5	0.129	0.136	0.812	0.269	0.129,0.131,0.136,0.136,0.812
fixture-cross-module-let	test/programs/packages/cross-module-let	program.cli.load-package	5	0.223	0.226	2.286	0.640	0.223,0.225,0.226,0.240,2.286
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-graph	5	1.451	1.497	10.853	3.364	1.451,1.459,1.497,1.558,10.853
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-order	5	0.095	0.097	0.248	0.128	0.095,0.095,0.097,0.104,0.248
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.normalize-type-families	5	0.132	0.145	0.372	0.190	0.132,0.136,0.145,0.165,0.372
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.reject-generalized-class-features	5	0.137	0.142	0.335	0.181	0.137,0.142,0.142,0.149,0.335
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.resolve	5	0.266	0.281	0.763	0.373	0.266,0.267,0.281,0.286,0.763
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.modules.distinct	5	0.105	0.114	0.297	0.148	0.105,0.112,0.114,0.114,0.297
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Prelude.cache	5	432.153	437.124	449.791	439.014	432.153,435.194,437.124,440.810,449.791
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-interface.Prelude	5	0.135	0.140	0.145	0.139	0.135,0.137,0.140,0.140,0.145
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.preflight	5	0.112	0.124	0.127	0.122	0.112,0.122,0.124,0.124,0.127
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.import-scope	5	0.115	0.128	0.131	0.126	0.115,0.126,0.128,0.129,0.131
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-data	5	0.113	0.122	0.126	0.121	0.113,0.121,0.122,0.123,0.126
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-classes	5	0.129	0.130	0.132	0.130	0.129,0.130,0.130,0.131,0.132
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-defs	5	0.118	0.128	0.129	0.126	0.118,0.127,0.128,0.128,0.129
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-values	5	0.116	0.127	0.130	0.126	0.116,0.127,0.127,0.128,0.130
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.scopes	5	0.113	0.118	0.132	0.120	0.113,0.114,0.118,0.122,0.132
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.validations	5	0.116	0.127	0.131	0.126	0.116,0.127,0.127,0.130,0.131
