benchmark	path	metric	runs	min_ms	median_ms	max_ms	mean_ms	values_ms
fixture-cross-module-let	test/programs/packages/cross-module-let	program.cli.parse-args	5	0.128	0.150	0.628	0.239	0.128,0.138,0.150,0.151,0.628
fixture-cross-module-let	test/programs/packages/cross-module-let	program.cli.load-package	5	0.223	0.250	1.377	0.469	0.223,0.231,0.250,0.264,1.377
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-graph	5	1.433	1.464	8.825	2.962	1.433,1.435,1.464,1.654,8.825
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-order	5	0.094	0.098	0.205	0.120	0.094,0.095,0.098,0.108,0.205
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.normalize-type-families	5	0.136	0.152	0.307	0.178	0.136,0.142,0.152,0.155,0.307
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.reject-generalized-class-features	5	0.133	0.138	0.279	0.165	0.133,0.135,0.138,0.140,0.279
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.resolve	5	0.266	0.293	0.599	0.350	0.266,0.274,0.293,0.320,0.599
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.modules.distinct	5	0.111	0.114	0.223	0.136	0.111,0.113,0.114,0.118,0.223
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Prelude.cache	5	442.116	447.852	464.453	451.196	442.116,445.410,447.852,456.148,464.453
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-interface.Prelude	5	0.144	0.149	0.153	0.149	0.144,0.149,0.149,0.149,0.153
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.preflight	5	0.115	0.124	0.126	0.121	0.115,0.116,0.124,0.126,0.126
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.import-scope	5	0.121	0.129	0.132	0.127	0.121,0.124,0.129,0.130,0.132
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-data	5	0.114	0.125	0.127	0.123	0.114,0.121,0.125,0.126,0.127
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-classes	5	0.127	0.130	0.139	0.131	0.127,0.129,0.130,0.131,0.139
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-defs	5	0.124	0.128	0.133	0.128	0.124,0.127,0.128,0.129,0.133
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-values	5	0.125	0.127	0.136	0.129	0.125,0.127,0.127,0.130,0.136
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.scopes	5	0.128	0.141	0.149	0.140	0.128,0.136,0.141,0.145,0.149
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.validations	5	0.124	0.126	0.132	0.127	0.124,0.125,0.126,0.127,0.132
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.derived-instances	5	0.133	0.136	0.144	0.137	0.133,0.135,0.136,0.136,0.144
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.instance-skeletons	5	0.136	0.138	0.141	0.138	0.136,0.137,0.138,0.140,0.141
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.finalize-context	5	0.182	0.190	0.198	0.190	0.182,0.187,0.190,0.194,0.198
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.constructor-bindings	5	0.142	0.143	0.144	0.143	0.142,0.143,0.143,0.143,0.144
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Core.instance_methods_group_finalize	5	0.167	0.170	0.174	0.170	0.167,0.167,0.170,0.171,0.174
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.instance-bindings	5	0.481	0.491	0.500	0.492	0.481,0.488,0.491,0.498,0.500
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Core.def_applyId_lower	5	0.143	0.148	0.149	0.147	0.143,0.147,0.148,0.148,0.149
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Core.defs_scc_classification	5	0.149	0.153	0.161	0.154	0.149,0.152,0.153,0.153,0.161
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Core.def_applyId	5	0.745	0.780	0.877	0.793	0.745,0.762,0.780,0.802,0.877
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.def-bindings	5	1.639	1.696	1.815	1.703	1.639,1.656,1.696,1.708,1.815
