benchmark	path	metric	runs	min_ms	median_ms	max_ms	mean_ms	values_ms
fixture-cross-module-let	test/programs/packages/cross-module-let	program.cli.parse-args	5	0.126	0.136	0.138	0.133	0.126,0.128,0.136,0.137,0.138
fixture-cross-module-let	test/programs/packages/cross-module-let	program.cli.load-package	5	0.219	0.229	0.251	0.230	0.219,0.222,0.229,0.231,0.251
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-graph	5	1.413	1.444	1.557	1.463	1.413,1.421,1.444,1.479,1.557
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-order	5	0.094	0.096	0.103	0.097	0.094,0.094,0.096,0.097,0.103
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.normalize-type-families	5	0.131	0.134	0.146	0.137	0.131,0.134,0.134,0.140,0.146
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.reject-generalized-class-features	5	0.129	0.136	0.145	0.136	0.129,0.131,0.136,0.141,0.145
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.resolve	5	0.267	0.283	0.288	0.279	0.267,0.272,0.283,0.283,0.288
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.modules.distinct	5	0.101	0.106	0.113	0.107	0.101,0.104,0.106,0.109,0.113
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Prelude.cache	5	442.255	446.116	451.130	446.552	442.255,442.676,446.116,450.585,451.130
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-interface.Prelude	5	0.136	0.142	0.151	0.144	0.136,0.142,0.142,0.147,0.151
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.preflight	5	0.121	0.125	0.130	0.124	0.121,0.121,0.125,0.125,0.130
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.import-scope	5	0.122	0.129	0.133	0.128	0.122,0.127,0.129,0.130,0.133
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-data	5	0.123	0.124	0.128	0.125	0.123,0.124,0.124,0.124,0.128
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-classes	5	0.127	0.129	0.138	0.131	0.127,0.129,0.129,0.131,0.138
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-defs	5	0.126	0.129	0.137	0.130	0.126,0.127,0.129,0.130,0.137
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-values	5	0.122	0.129	0.141	0.130	0.122,0.127,0.129,0.129,0.141
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.scopes	5	0.134	0.138	0.145	0.138	0.134,0.134,0.138,0.139,0.145
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.validations	5	0.124	0.125	0.132	0.126	0.124,0.125,0.125,0.126,0.132
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.derived-instances	5	0.134	0.138	0.143	0.138	0.134,0.135,0.138,0.139,0.143
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.instance-skeletons	5	0.137	0.138	0.145	0.139	0.137,0.137,0.138,0.140,0.145
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.finalize-context	5	0.187	0.190	0.206	0.193	0.187,0.190,0.190,0.192,0.206
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.constructor-bindings	5	0.135	0.141	0.143	0.140	0.135,0.140,0.141,0.141,0.143
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Core.instance_methods_group_finalize	5	0.167	0.169	0.177	0.171	0.167,0.168,0.169,0.172,0.177
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.instance-bindings	5	0.486	0.488	0.510	0.493	0.486,0.487,0.488,0.492,0.510
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Core.def_applyId_lower	5	0.145	0.147	0.152	0.147	0.145,0.145,0.147,0.148,0.152
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Core.defs_scc_classification	5	0.151	0.152	0.157	0.153	0.151,0.151,0.152,0.155,0.157
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Core.def_applyId	5	0.742	0.767	0.784	0.766	0.742,0.762,0.767,0.775,0.784
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.def-bindings	5	1.633	1.659	1.702	1.665	1.633,1.651,1.659,1.681,1.702
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.exports	5	0.120	0.122	0.126	0.123	0.120,0.121,0.122,0.125,0.126
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core	5	6.094	6.126	6.320	6.166	6.094,6.107,6.126,6.182,6.320
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-interface.Core	5	0.094	0.096	0.099	0.097	0.094,0.096,0.096,0.098,0.099
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.preflight	5	0.091	0.096	0.103	0.097	0.091,0.096,0.096,0.099,0.103
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.import-scope	5	0.103	0.104	0.106	0.104	0.103,0.103,0.104,0.105,0.106
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.local-data	5	0.096	0.098	0.101	0.098	0.096,0.096,0.098,0.100,0.101
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.local-classes	5	0.100	0.103	0.104	0.102	0.100,0.100,0.103,0.103,0.104
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.local-defs	5	0.097	0.100	0.101	0.099	0.097,0.098,0.100,0.101,0.101
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.local-values	5	0.096	0.100	0.102	0.099	0.096,0.099,0.100,0.100,0.102
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.scopes	5	0.090	0.092	0.094	0.092	0.090,0.091,0.092,0.092,0.094
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.validations	5	0.091	0.098	0.102	0.098	0.091,0.097,0.098,0.100,0.102
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.derived-instances	5	0.106	0.108	0.110	0.108	0.106,0.107,0.108,0.109,0.110
