benchmark	path	metric	runs	min_ms	median_ms	max_ms	mean_ms	values_ms
fixture-cross-module-let	test/programs/packages/cross-module-let	program.cli.parse-args	1	0.754	0.754	0.754	0.754	0.754
fixture-cross-module-let	test/programs/packages/cross-module-let	program.cli.load-package	1	2.329	2.329	2.329	2.329	2.329
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-graph	1	10.518	10.518	10.518	10.518	10.518
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-order	1	0.236	0.236	0.236	0.236	0.236
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.normalize-type-families	1	0.357	0.357	0.357	0.357	0.357
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.reject-generalized-class-features	1	0.319	0.319	0.319	0.319	0.319
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.resolve	1	0.757	0.757	0.757	0.757	0.757
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.modules.distinct	1	0.249	0.249	0.249	0.249	0.249
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Prelude.cache	1	467.428	467.428	467.428	467.428	467.428
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-interface.Prelude	1	0.146	0.146	0.146	0.146	0.146
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.preflight	1	0.124	0.124	0.124	0.124	0.124
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.import-scope	1	0.128	0.128	0.128	0.128	0.128
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-data	1	0.124	0.124	0.124	0.124	0.124
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-classes	1	0.132	0.132	0.132	0.132	0.132
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-defs	1	0.133	0.133	0.133	0.133	0.133
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-values	1	0.129	0.129	0.129	0.129	0.129
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.scopes	1	0.150	0.150	0.150	0.150	0.150
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.validations	1	0.126	0.126	0.126	0.126	0.126
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.derived-instances	1	0.136	0.136	0.136	0.136	0.136
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.instance-skeletons	1	0.139	0.139	0.139	0.139	0.139
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.finalize-context	1	0.195	0.195	0.195	0.195	0.195
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.constructor-bindings	1	0.142	0.142	0.142	0.142	0.142
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Core.instance_methods_group_finalize	1	0.170	0.170	0.170	0.170	0.170
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.instance-bindings	1	0.489	0.489	0.489	0.489	0.489
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Core.def_applyId_lower	1	0.147	0.147	0.147	0.147	0.147
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Core.defs_scc_classification	1	0.152	0.152	0.152	0.152	0.152
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Core.def_applyId	1	0.801	0.801	0.801	0.801	0.801
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.def-bindings	1	1.699	1.699	1.699	1.699	1.699
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.exports	1	0.124	0.124	0.124	0.124	0.124
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core	1	6.233	6.233	6.233	6.233	6.233
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-interface.Core	1	0.095	0.095	0.095	0.095	0.095
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.preflight	1	0.096	0.096	0.096	0.096	0.096
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.import-scope	1	0.102	0.102	0.102	0.102	0.102
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.local-data	1	0.097	0.097	0.097	0.097	0.097
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.local-classes	1	0.107	0.107	0.107	0.107	0.107
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.local-defs	1	0.099	0.099	0.099	0.099	0.099
