benchmark	path	metric	runs	min_ms	median_ms	max_ms	mean_ms	values_ms
fixture-cross-module-let	test/programs/packages/cross-module-let	program.cli.parse-args	1	0.576	0.576	0.576	0.576	0.576
fixture-cross-module-let	test/programs/packages/cross-module-let	program.cli.load-package	1	1.131	1.131	1.131	1.131	1.131
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-graph	1	9.349	9.349	9.349	9.349	9.349
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-order	1	0.317	0.317	0.317	0.317	0.317
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.normalize-type-families	1	0.461	0.461	0.461	0.461	0.461
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.reject-generalized-class-features	1	0.376	0.376	0.376	0.376	0.376
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.resolve	1	0.666	0.666	0.666	0.666	0.666
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.modules.distinct	1	0.223	0.223	0.223	0.223	0.223
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Prelude.cache	1	479.489	479.489	479.489	479.489	479.489
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-interface.Prelude	1	0.171	0.171	0.171	0.171	0.171
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.preflight	1	0.127	0.127	0.127	0.127	0.127
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.import-scope	1	0.131	0.131	0.131	0.131	0.131
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-data	1	0.127	0.127	0.127	0.127	0.127
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-classes	1	0.132	0.132	0.132	0.132	0.132
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-defs	1	0.130	0.130	0.130	0.130	0.130
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-values	1	0.130	0.130	0.130	0.130	0.130
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.scopes	1	0.129	0.129	0.129	0.129	0.129
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.validations	1	0.129	0.129	0.129	0.129	0.129
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.derived-instances	1	0.140	0.140	0.140	0.140	0.140
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.instance-skeletons	1	0.146	0.146	0.146	0.146	0.146
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.finalize-context	1	0.199	0.199	0.199	0.199	0.199
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.constructor-bindings	1	0.146	0.146	0.146	0.146	0.146
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Core.instance_methods_group_finalize	1	0.173	0.173	0.173	0.173	0.173
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.instance-bindings	1	0.509	0.509	0.509	0.509	0.509
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Core.def_applyId_lower	1	0.150	0.150	0.150	0.150	0.150
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Core.defs_scc_classification	1	0.160	0.160	0.160	0.160	0.160
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Core.def_applyId	1	0.868	0.868	0.868	0.868	0.868
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.def-bindings	1	1.796	1.796	1.796	1.796	1.796
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.exports	1	0.126	0.126	0.126	0.126	0.126
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core	1	6.383	6.383	6.383	6.383	6.383
