benchmark	path	metric	runs	min_ms	median_ms	max_ms	mean_ms	values_ms
fixture-cross-module-let	test/programs/packages/cross-module-let	program.cli.parse-args	3	0.148	0.274	1.085	0.502	0.148,0.274,1.085
fixture-cross-module-let	test/programs/packages/cross-module-let	program.cli.load-package	3	0.230	0.261	1.828	0.773	0.230,0.261,1.828
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-graph	3	1.501	1.715	11.356	4.857	1.501,1.715,11.356
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-order	3	0.106	0.111	0.245	0.154	0.106,0.111,0.245
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.normalize-type-families	3	0.146	0.164	0.392	0.234	0.146,0.164,0.392
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.reject-generalized-class-features	3	0.146	0.150	0.339	0.212	0.146,0.150,0.339
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.resolve	3	0.284	0.312	0.769	0.455	0.284,0.312,0.769
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.modules.distinct	3	0.111	0.122	0.299	0.177	0.111,0.122,0.299
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Prelude.cache	3	482.400	502.848	526.946	504.065	482.400,502.848,526.946
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-interface.Prelude	3	0.147	0.149	0.153	0.150	0.147,0.149,0.153
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.preflight	3	0.125	0.127	0.132	0.128	0.125,0.127,0.132
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.import-scope	3	0.129	0.129	0.131	0.130	0.129,0.129,0.131
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-data	3	0.125	0.127	0.131	0.128	0.125,0.127,0.131
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-classes	3	0.132	0.137	0.141	0.137	0.132,0.137,0.141
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-defs	3	0.129	0.130	0.130	0.130	0.129,0.130,0.130
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-values	3	0.129	0.129	0.130	0.129	0.129,0.129,0.130
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.scopes	3	0.121	0.125	0.135	0.127	0.121,0.125,0.135
