benchmark	path	metric	runs	min_ms	median_ms	max_ms	mean_ms	values_ms
fixture-cross-module-let	test/programs/packages/cross-module-let	program.cli.parse-args	5	0.134	0.140	0.788	0.268	0.134,0.139,0.140,0.141,0.788
fixture-cross-module-let	test/programs/packages/cross-module-let	program.cli.load-package	5	0.231	0.238	2.492	0.692	0.231,0.233,0.238,0.264,2.492
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-graph	5	1.427	1.512	11.014	3.402	1.427,1.500,1.512,1.557,11.014
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-order	5	0.094	0.099	0.247	0.128	0.094,0.096,0.099,0.104,0.247
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.normalize-type-families	5	0.131	0.146	0.366	0.186	0.131,0.137,0.146,0.148,0.366
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.reject-generalized-class-features	5	0.129	0.142	0.289	0.169	0.129,0.137,0.142,0.148,0.289
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.resolve	5	0.270	0.299	0.658	0.363	0.270,0.276,0.299,0.313,0.658
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.modules.distinct	5	0.106	0.109	0.256	0.138	0.106,0.106,0.109,0.112,0.256
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Prelude.cache	5	426.330	429.579	442.481	431.135	426.330,426.981,429.579,430.303,442.481
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-interface.Prelude	5	0.139	0.144	0.154	0.145	0.139,0.140,0.144,0.146,0.154
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.preflight	5	0.117	0.120	0.126	0.121	0.117,0.119,0.120,0.122,0.126
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.import-scope	5	0.140	0.141	0.144	0.141	0.140,0.140,0.141,0.142,0.144
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-data	5	0.114	0.118	0.125	0.119	0.114,0.117,0.118,0.121,0.125
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-classes	5	0.128	0.130	0.142	0.132	0.128,0.129,0.130,0.131,0.142
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-defs	5	0.120	0.124	0.129	0.124	0.120,0.120,0.124,0.127,0.129
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-values	5	0.127	0.129	0.130	0.128	0.127,0.127,0.129,0.129,0.130
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.scopes	5	0.114	0.124	0.131	0.124	0.114,0.124,0.124,0.126,0.131
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.validations	5	0.126	0.128	0.129	0.128	0.126,0.127,0.128,0.129,0.129
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.derived-instances	5	0.130	0.136	0.138	0.135	0.130,0.132,0.136,0.137,0.138
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.instance-skeletons	5	0.135	0.140	0.142	0.139	0.135,0.139,0.140,0.141,0.142
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.finalize-context	5	0.192	0.195	0.200	0.195	0.192,0.194,0.195,0.196,0.200
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.constructor-bindings	5	0.132	0.136	0.141	0.136	0.132,0.133,0.136,0.137,0.141
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Core.instance_methods_group_finalize	5	0.165	0.168	0.179	0.169	0.165,0.165,0.168,0.170,0.179
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.instance-bindings	5	0.484	0.491	0.505	0.493	0.484,0.487,0.491,0.496,0.505
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Core.def_applyId_lower	5	0.140	0.147	0.151	0.147	0.140,0.147,0.147,0.149,0.151
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Core.defs_scc_classification	5	0.147	0.153	0.154	0.152	0.147,0.152,0.153,0.153,0.154
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Core.def_applyId	5	0.812	0.831	0.841	0.829	0.812,0.825,0.831,0.838,0.841
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.def-bindings	5	1.698	1.733	1.742	1.725	1.698,1.716,1.733,1.736,1.742
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.exports	5	0.118	0.122	0.133	0.124	0.118,0.121,0.122,0.124,0.133
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core	5	6.132	6.149	6.239	6.179	6.132,6.140,6.149,6.234,6.239
