benchmark	path	metric	runs	min_ms	median_ms	max_ms	mean_ms	values_ms
fixture-cross-module-let	test/programs/packages/cross-module-let	program.cli.parse-args	1	0.692	0.692	0.692	0.692	0.692
fixture-cross-module-let	test/programs/packages/cross-module-let	program.cli.load-package	1	1.513	1.513	1.513	1.513	1.513
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-graph	1	10.031	10.031	10.031	10.031	10.031
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-order	1	0.241	0.241	0.241	0.241	0.241
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.normalize-type-families	1	0.354	0.354	0.354	0.354	0.354
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.reject-generalized-class-features	1	0.283	0.283	0.283	0.283	0.283
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.resolve	1	0.658	0.658	0.658	0.658	0.658
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.modules.distinct	1	0.257	0.257	0.257	0.257	0.257
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Prelude.cache	1	489.795	489.795	489.795	489.795	489.795
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-interface.Prelude	1	0.151	0.151	0.151	0.151	0.151
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.preflight	1	0.125	0.125	0.125	0.125	0.125
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.import-scope	1	0.127	0.127	0.127	0.127	0.127
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-data	1	0.123	0.123	0.123	0.123	0.123
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-classes	1	0.128	0.128	0.128	0.128	0.128
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-defs	1	0.127	0.127	0.127	0.127	0.127
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-values	1	0.143	0.143	0.143	0.143	0.143
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.scopes	1	0.128	0.128	0.128	0.128	0.128
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.validations	1	0.126	0.126	0.126	0.126	0.126
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.derived-instances	1	0.140	0.140	0.140	0.140	0.140
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.instance-skeletons	1	0.140	0.140	0.140	0.140	0.140
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.finalize-context	1	0.195	0.195	0.195	0.195	0.195
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.constructor-bindings	1	0.143	0.143	0.143	0.143	0.143
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Core.instance_methods_group_finalize	1	0.173	0.173	0.173	0.173	0.173
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.instance-bindings	1	0.494	0.494	0.494	0.494	0.494
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Core.def_applyId_lower	1	0.148	0.148	0.148	0.148	0.148
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Core.defs_scc_classification	1	0.154	0.154	0.154	0.154	0.154
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Core.def_applyId	1	0.886	0.886	0.886	0.886	0.886
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.def-bindings	1	1.796	1.796	1.796	1.796	1.796
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.exports	1	0.125	0.125	0.125	0.125	0.125
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core	1	6.303	6.303	6.303	6.303	6.303
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-interface.Core	1	0.098	0.098	0.098	0.098	0.098
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.preflight	1	0.098	0.098	0.098	0.098	0.098
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.import-scope	1	0.104	0.104	0.104	0.104	0.104
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.local-data	1	0.099	0.099	0.099	0.099	0.099
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.local-classes	1	0.103	0.103	0.103	0.103	0.103
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.local-defs	1	0.100	0.100	0.100	0.100	0.100
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.local-values	1	0.107	0.107	0.107	0.107	0.107
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.scopes	1	0.094	0.094	0.094	0.094	0.094
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.validations	1	0.102	0.102	0.102	0.102	0.102
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.derived-instances	1	0.109	0.109	0.109	0.109	0.109
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.instance-skeletons	1	0.111	0.111	0.111	0.111	0.111
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.finalize-context	1	0.160	0.160	0.160	0.160	0.160
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.constructor-bindings	1	0.114	0.114	0.114	0.114	0.114
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Main.instance_methods_group_finalize	1	0.140	0.140	0.140	0.140	0.140
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.instance-bindings	1	0.399	0.399	0.399	0.399	0.399
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Main.def_main_lower	1	0.137	0.137	0.137	0.137	0.137
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Main.defs_scc_classification	1	0.126	0.126	0.126	0.126	0.126
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Main.def_main	1	0.237	0.237	0.237	0.237	0.237
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.def-bindings	1	0.990	0.990	0.990	0.990	0.990
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.exports	1	0.096	0.096	0.096	0.096	0.096
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main	1	4.604	4.604	4.604	4.604	4.604
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-interface.Main	1	0.098	0.098	0.098	0.098	0.098
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.modules.main-binding	1	0.102	0.102	0.102	0.102	0.102
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.modules	1	502.726	502.726	502.726	502.726	502.726
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.package-interface	1	0.131	0.131	0.131	0.131	0.131
fixture-cross-module-let	test/programs/packages/cross-module-let	program.cli.command	1	516.314	516.314	516.314	516.314	516.314
fixture-cross-module-let	test/programs/packages/cross-module-let	real	1	1650.000	1650.000	1650.000	1650.000	1650.000
fixture-cross-module-let	test/programs/packages/cross-module-let	user	1	500.000	500.000	500.000	500.000	500.000
fixture-cross-module-let	test/programs/packages/cross-module-let	sys	1	40.000	40.000	40.000	40.000	40.000
fixture-cross-module-let	test/programs/packages/cross-module-let	command.status	1	0.000	0.000	0.000	0.000	0.000
