benchmark	path	metric	runs	min_ms	median_ms	max_ms	mean_ms	values_ms
fixture-cross-module-let	test/programs/packages/cross-module-let	program.cli.parse-args	5	0.130	0.135	0.542	0.216	0.130,0.134,0.135,0.139,0.542
fixture-cross-module-let	test/programs/packages/cross-module-let	program.cli.load-package	5	0.230	0.242	1.306	0.453	0.230,0.234,0.242,0.254,1.306
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-graph	5	1.480	1.499	8.919	2.990	1.480,1.484,1.499,1.569,8.919
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-order	5	0.098	0.100	0.207	0.122	0.098,0.099,0.100,0.105,0.207
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.normalize-type-families	5	0.135	0.143	0.306	0.174	0.135,0.137,0.143,0.147,0.306
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.reject-generalized-class-features	5	0.128	0.146	0.282	0.168	0.128,0.136,0.146,0.147,0.282
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.resolve	5	0.263	0.275	0.631	0.344	0.263,0.270,0.275,0.281,0.631
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.modules.distinct	5	0.111	0.114	0.249	0.140	0.111,0.113,0.114,0.115,0.249
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Prelude.cache	5	455.320	460.683	493.217	467.110	455.320,460.015,460.683,466.313,493.217
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-interface.Prelude	5	0.135	0.145	0.151	0.144	0.135,0.141,0.145,0.149,0.151
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.preflight	5	0.114	0.122	0.128	0.121	0.114,0.121,0.122,0.122,0.128
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.import-scope	5	0.122	0.128	0.130	0.127	0.122,0.127,0.128,0.128,0.130
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-data	5	0.121	0.124	0.134	0.125	0.121,0.122,0.124,0.124,0.134
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-classes	5	0.123	0.129	0.131	0.128	0.123,0.129,0.129,0.130,0.131
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-defs	5	0.124	0.127	0.128	0.127	0.124,0.127,0.127,0.128,0.128
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-values	5	0.123	0.128	0.128	0.127	0.123,0.126,0.128,0.128,0.128
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.scopes	5	0.118	0.121	0.130	0.123	0.118,0.118,0.121,0.127,0.130
