benchmark	path	metric	runs	min_ms	median_ms	max_ms	mean_ms	values_ms
fixture-cross-module-let	test/programs/packages/cross-module-let	program.cli.parse-args	3	0.133	0.137	0.746	0.339	0.133,0.137,0.746
fixture-cross-module-let	test/programs/packages/cross-module-let	program.cli.load-package	3	0.227	0.260	2.029	0.839	0.227,0.260,2.029
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-graph	3	1.506	1.550	10.629	4.562	1.506,1.550,10.629
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-order	3	0.103	0.108	0.244	0.152	0.103,0.108,0.244
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.normalize-type-families	3	0.144	0.149	0.367	0.220	0.144,0.149,0.367
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.reject-generalized-class-features	3	0.142	0.147	0.334	0.208	0.142,0.147,0.334
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.resolve	3	0.289	0.294	0.677	0.420	0.289,0.294,0.677
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.modules.distinct	3	0.111	0.115	0.257	0.161	0.111,0.115,0.257
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Prelude.cache	3	471.698	472.861	487.121	477.227	471.698,472.861,487.121
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-interface.Prelude	3	0.151	0.153	0.154	0.153	0.151,0.153,0.154
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.preflight	3	0.126	0.127	0.127	0.127	0.126,0.127,0.127
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.import-scope	3	0.129	0.131	0.131	0.130	0.129,0.131,0.131
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-data	3	0.126	0.126	0.127	0.126	0.126,0.126,0.127
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-classes	3	0.131	0.132	0.133	0.132	0.131,0.132,0.133
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-defs	3	0.129	0.130	0.131	0.130	0.129,0.130,0.131
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-values	3	0.132	0.132	0.132	0.132	0.132,0.132,0.132
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.scopes	3	0.120	0.124	0.132	0.125	0.120,0.124,0.132
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.validations	3	0.128	0.129	0.132	0.130	0.128,0.129,0.132
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.derived-instances	3	0.137	0.141	0.141	0.140	0.137,0.141,0.141
