benchmark	path	run	metric	value_ms	status
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.cli.parse-args	0.803	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.cli.load-package	1.662	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module-graph	12.162	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module-order	0.288	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.normalize-type-families	0.394	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.reject-generalized-class-features	0.336	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.resolve	0.787	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.modules.distinct	0.301	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Prelude.cache	448.394	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module-interface.Prelude	0.154	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Core.preflight	0.125	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Core.import-scope	0.128	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Core.local-data	0.124	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Core.local-classes	0.130	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Core.local-defs	0.129	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Core.local-values	0.131	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Core.scopes	0.133	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Core.validations	0.130	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Core.derived-instances	0.140	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Core.instance-skeletons	0.143	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Core.finalize-context	0.200	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Core.constructor-bindings	0.138	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.operation.Core.instance_methods_group_finalize	0.171	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Core.instance-bindings	0.498	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.operation.Core.def_applyId_lower	0.150	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.operation.Core.defs_scc_classification	0.156	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.operation.Core.def_applyId	0.850	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Core.def-bindings	1.756	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Core.exports	0.122	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Core	6.302	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module-interface.Core	0.097	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Main.preflight	0.097	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Main.import-scope	0.104	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Main.local-data	0.100	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Main.local-classes	0.105	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Main.local-defs	0.100	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Main.local-values	0.102	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Main.scopes	0.093	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Main.validations	0.100	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Main.derived-instances	0.108	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Main.instance-skeletons	0.111	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Main.finalize-context	0.158	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Main.constructor-bindings	0.113	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.operation.Main.instance_methods_group_finalize	0.136	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Main.instance-bindings	0.399	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.operation.Main.def_main_lower	0.134	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.operation.Main.defs_scc_classification	0.125	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.operation.Main.def_main	0.229	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Main.def-bindings	0.994	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Main.exports	0.095	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module.Main	4.597	0
fixture-cross-module-let	test/programs/packages/cross-module-let	1	program.check.module-interface.Main	0.101	0
