benchmark	path	metric	runs	min_ms	median_ms	max_ms	mean_ms	values_ms
fixture-cross-module-let	test/programs/packages/cross-module-let	program.cli.parse-args	5	0.133	0.136	0.803	0.270	0.133,0.134,0.136,0.142,0.803
fixture-cross-module-let	test/programs/packages/cross-module-let	program.cli.load-package	5	0.227	0.227	1.662	0.518	0.227,0.227,0.227,0.245,1.662
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-graph	5	1.499	1.512	12.162	3.647	1.499,1.508,1.512,1.553,12.162
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-order	5	0.097	0.105	0.288	0.141	0.097,0.104,0.105,0.109,0.288
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.normalize-type-families	5	0.147	0.149	0.394	0.199	0.147,0.149,0.149,0.154,0.394
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.reject-generalized-class-features	5	0.132	0.146	0.336	0.181	0.132,0.144,0.146,0.146,0.336
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.resolve	5	0.289	0.298	0.787	0.393	0.289,0.292,0.298,0.301,0.787
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.modules.distinct	5	0.110	0.114	0.301	0.151	0.110,0.113,0.114,0.118,0.301
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Prelude.cache	5	424.662	426.947	448.394	432.220	424.662,426.216,426.947,434.879,448.394
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-interface.Prelude	5	0.143	0.148	0.154	0.149	0.143,0.148,0.148,0.150,0.154
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.preflight	5	0.123	0.125	0.133	0.127	0.123,0.125,0.125,0.128,0.133
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.import-scope	5	0.126	0.129	0.131	0.129	0.126,0.128,0.129,0.130,0.131
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-data	5	0.121	0.125	0.127	0.125	0.121,0.124,0.125,0.126,0.127
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-classes	5	0.129	0.132	0.140	0.133	0.129,0.130,0.132,0.133,0.140
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-defs	5	0.128	0.129	0.131	0.129	0.128,0.129,0.129,0.130,0.131
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-values	5	0.130	0.131	0.132	0.131	0.130,0.130,0.131,0.131,0.132
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.scopes	5	0.117	0.121	0.133	0.123	0.117,0.120,0.121,0.124,0.133
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.validations	5	0.129	0.131	0.141	0.132	0.129,0.130,0.131,0.131,0.141
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.derived-instances	5	0.135	0.140	0.145	0.140	0.135,0.139,0.140,0.140,0.145
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.instance-skeletons	5	0.138	0.142	0.143	0.141	0.138,0.140,0.142,0.143,0.143
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.finalize-context	5	0.190	0.192	0.200	0.193	0.190,0.190,0.192,0.195,0.200
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.constructor-bindings	5	0.138	0.143	0.146	0.143	0.138,0.141,0.143,0.145,0.146
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Core.instance_methods_group_finalize	5	0.168	0.172	0.174	0.172	0.168,0.171,0.172,0.173,0.174
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.instance-bindings	5	0.488	0.500	0.506	0.499	0.488,0.498,0.500,0.501,0.506
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Core.def_applyId_lower	5	0.146	0.150	0.151	0.149	0.146,0.149,0.150,0.150,0.151
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Core.defs_scc_classification	5	0.156	0.156	0.167	0.159	0.156,0.156,0.156,0.161,0.167
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Core.def_applyId	5	0.819	0.827	0.864	0.837	0.819,0.826,0.827,0.850,0.864
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.def-bindings	5	1.722	1.756	1.787	1.753	1.722,1.746,1.756,1.756,1.787
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.exports	5	0.119	0.123	0.132	0.125	0.119,0.122,0.123,0.128,0.132
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core	5	6.145	6.302	6.363	6.283	6.145,6.269,6.302,6.335,6.363
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-interface.Core	5	0.095	0.097	0.099	0.097	0.095,0.097,0.097,0.098,0.099
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.preflight	5	0.094	0.098	0.102	0.098	0.094,0.097,0.098,0.098,0.102
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.import-scope	5	0.102	0.104	0.105	0.104	0.102,0.104,0.104,0.104,0.105
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.local-data	5	0.096	0.099	0.108	0.100	0.096,0.098,0.099,0.100,0.108
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.local-classes	5	0.101	0.103	0.105	0.103	0.101,0.103,0.103,0.105,0.105
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.local-defs	5	0.099	0.100	0.102	0.100	0.099,0.099,0.100,0.100,0.102
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.local-values	5	0.099	0.102	0.103	0.102	0.099,0.102,0.102,0.102,0.103
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.scopes	5	0.091	0.093	0.105	0.095	0.091,0.093,0.093,0.094,0.105
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.validations	5	0.098	0.102	0.106	0.102	0.098,0.100,0.102,0.104,0.106
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.derived-instances	5	0.107	0.110	0.112	0.110	0.107,0.108,0.110,0.112,0.112
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.instance-skeletons	5	0.108	0.111	0.114	0.111	0.108,0.111,0.111,0.111,0.114
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.finalize-context	5	0.156	0.158	0.163	0.158	0.156,0.157,0.158,0.158,0.163
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.constructor-bindings	5	0.112	0.114	0.117	0.114	0.112,0.113,0.114,0.115,0.117
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Main.instance_methods_group_finalize	5	0.133	0.137	0.139	0.136	0.133,0.136,0.137,0.137,0.139
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.instance-bindings	5	0.385	0.396	0.399	0.394	0.385,0.395,0.396,0.396,0.399
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Main.def_main_lower	5	0.134	0.135	0.138	0.135	0.134,0.135,0.135,0.135,0.138
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Main.defs_scc_classification	5	0.120	0.124	0.125	0.123	0.120,0.123,0.124,0.125,0.125
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Main.def_main	5	0.223	0.226	0.235	0.227	0.223,0.224,0.226,0.229,0.235
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.def-bindings	5	0.954	0.969	0.994	0.970	0.954,0.959,0.969,0.976,0.994
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.exports	5	0.091	0.094	0.095	0.093	0.091,0.092,0.094,0.095,0.095
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main	5	4.455	4.584	4.624	4.561	4.455,4.545,4.584,4.597,4.624
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-interface.Main	5	0.095	0.097	0.101	0.098	0.095,0.097,0.097,0.100,0.101
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.modules.main-binding	5	0.097	0.100	0.101	0.099	0.097,0.099,0.100,0.100,0.101
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.modules	5	437.206	439.178	461.446	444.810	437.206,438.678,439.178,447.540,461.446
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.package-interface	5	0.116	0.118	0.130	0.121	0.116,0.117,0.118,0.126,0.130
