benchmark	path	metric	runs	min_ms	median_ms	max_ms	mean_ms	values_ms
fixture-cross-module-let	test/programs/packages/cross-module-let	program.cli.parse-args	1	0.457	0.457	0.457	0.457	0.457
fixture-cross-module-let	test/programs/packages/cross-module-let	program.cli.load-package	1	1.133	1.133	1.133	1.133	1.133
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-graph	1	7.554	7.554	7.554	7.554	7.554
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-order	1	0.258	0.258	0.258	0.258	0.258
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.normalize-type-families	1	0.306	0.306	0.306	0.306	0.306
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.reject-generalized-class-features	1	0.311	0.311	0.311	0.311	0.311
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.resolve	1	0.590	0.590	0.590	0.590	0.590
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.modules.distinct	1	0.778	0.778	0.778	0.778	0.778
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Prelude.cache	1	702.747	702.747	702.747	702.747	702.747
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-interface.Prelude	1	0.337	0.337	0.337	0.337	0.337
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.preflight	1	0.283	0.283	0.283	0.283	0.283
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.import-scope	1	0.321	0.321	0.321	0.321	0.321
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-data	1	0.281	0.281	0.281	0.281	0.281
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-classes	1	0.343	0.343	0.343	0.343	0.343
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-defs	1	0.328	0.328	0.328	0.328	0.328
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.local-values	1	0.291	0.291	0.291	0.291	0.291
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.scopes	1	0.278	0.278	0.278	0.278	0.278
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.validations	1	0.303	0.303	0.303	0.303	0.303
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.derived-instances	1	0.337	0.337	0.337	0.337	0.337
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.instance-skeletons	1	0.332	0.332	0.332	0.332	0.332
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.finalize-context	1	0.438	0.438	0.438	0.438	0.438
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.constructor-bindings	1	0.307	0.307	0.307	0.307	0.307
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Core.instance_methods_group_finalize	1	0.374	0.374	0.374	0.374	0.374
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.instance-bindings	1	1.075	1.075	1.075	1.075	1.075
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Core.def_applyId_lower	1	0.320	0.320	0.320	0.320	0.320
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Core.defs_scc_classification	1	0.403	0.403	0.403	0.403	0.403
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Core.def_applyId	1	1.564	1.564	1.564	1.564	1.564
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.def-bindings	1	3.688	3.688	3.688	3.688	3.688
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core.exports	1	0.271	0.271	0.271	0.271	0.271
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Core	1	14.321	14.321	14.321	14.321	14.321
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-interface.Core	1	0.206	0.206	0.206	0.206	0.206
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.preflight	1	0.213	0.213	0.213	0.213	0.213
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.import-scope	1	0.211	0.211	0.211	0.211	0.211
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.local-data	1	0.176	0.176	0.176	0.176	0.176
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.local-classes	1	0.189	0.189	0.189	0.189	0.189
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.local-defs	1	0.191	0.191	0.191	0.191	0.191
