benchmark	path	metric	runs	min_ms	median_ms	max_ms	mean_ms	values_ms
parser-library	test/programs/compiler-parser-parity/parser-library	program.cli.parse-args	1	0.342	0.342	0.342	0.342	0.342
parser-library	test/programs/compiler-parser-parity/parser-library	program.cli.load-package	1	1.090	1.090	1.090	1.090	1.090
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module-graph	1	1.670	1.670	1.670	1.670	1.670
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module-order	1	0.215	0.215	0.215	0.215	0.215
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.normalize-type-families	1	0.795	0.795	0.795	0.795	0.795
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.reject-generalized-class-features	1	0.374	0.374	0.374	0.374	0.374
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.resolve	1	12.561	12.561	12.561	12.561	12.561
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.modules.distinct	1	0.231	0.231	0.231	0.231	0.231
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.Prelude.cache	1	650.706	650.706	650.706	650.706	650.706
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module-interface.Prelude	1	0.260	0.260	0.260	0.260	0.260
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.ParserParitySource.preflight	1	0.405	0.405	0.405	0.405	0.405
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.ParserParitySource.import-scope	1	0.301	0.301	0.301	0.301	0.301
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.ParserParitySource.local-data	1	0.363	0.363	0.363	0.363	0.363
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.ParserParitySource.local-classes	1	0.286	0.286	0.286	0.286	0.286
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.ParserParitySource.local-defs	1	1.555	1.555	1.555	1.555	1.555
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.ParserParitySource.local-values	1	0.447	0.447	0.447	0.447	0.447
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.ParserParitySource.scopes	1	0.370	0.370	0.370	0.370	0.370
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.ParserParitySource.validations	1	0.321	0.321	0.321	0.321	0.321
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.ParserParitySource.derived-instances	1	0.311	0.311	0.311	0.311	0.311
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.ParserParitySource.instance-skeletons	1	0.313	0.313	0.313	0.313	0.313
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.ParserParitySource.finalize-context	1	0.641	0.641	0.641	0.641	0.641
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.constructor_SourceInputNil	1	12.970	12.970	12.970	12.970	12.970
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.constructor_SourceInputCons	1	40.828	40.828	40.828	40.828	40.828
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.constructor_SourceSymbol	1	17.101	17.101	17.101	17.101	17.101
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.constructor_SourceUnknown	1	10.269	10.269	10.269	10.269	10.269
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.ParserParitySource.constructor-bindings	1	83.228	83.228	83.228	83.228	83.228
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.instance_methods_group_finalize	1	0.286	0.286	0.286	0.286	0.286
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.ParserParitySource.instance-bindings	1	0.855	0.855	0.855	0.855	0.855
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_sourceInputNil_lower	1	0.487	0.487	0.487	0.487	0.487
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_sourceInputCons_lower	1	0.297	0.297	0.297	0.297	0.297
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_renderSpan_lower	1	0.269	0.269	0.269	0.269	0.269
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_basicModuleSpan_lower	1	0.425	0.425	0.425	0.425	0.425
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_basicModuleKeywordSpan_lower	1	0.398	0.398	0.398	0.398	0.398
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_basicModuleNameSpan_lower	1	0.287	0.287	0.287	0.287	0.287
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_basicExportKeywordSpan_lower	1	0.294	0.294	0.294	0.294	0.294
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_basicExportLeftParenSpan_lower	1	0.326	0.326	0.326	0.326	0.326
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_basicExportMainSpan_lower	1	0.288	0.288	0.288	0.288	0.288
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_basicExportRightParenSpan_lower	1	0.309	0.309	0.309	0.309	0.309
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_basicModuleLeftBraceSpan_lower	1	0.318	0.318	0.318	0.318	0.318
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_basicDefKeywordSpan_lower	1	0.291	0.291	0.291	0.291	0.291
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_basicDefNameSpan_lower	1	0.358	0.358	0.358	0.358	0.358
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_basicDefColonSpan_lower	1	0.277	0.277	0.277	0.277	0.277
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_basicBoolTypeSpan_lower	1	0.275	0.275	0.275	0.275	0.275
