benchmark	path	run	metric	value_ms	status
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.cli.parse-args	0.781	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.cli.load-package	1.815	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module-graph	1.850	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module-order	0.269	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.normalize-type-families	1.087	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.reject-generalized-class-features	0.424	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.resolve	12.769	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.modules.distinct	0.288	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.Prelude.cache	663.833	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module-interface.Prelude	0.317	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.preflight	0.383	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.import-scope	0.353	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.local-data	0.445	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.local-classes	0.398	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.local-defs	1.594	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.local-values	0.490	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.scopes	0.428	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.validations	0.397	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.derived-instances	0.362	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.instance-skeletons	0.381	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.finalize-context	0.908	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.constructor_SourceInputNil	13.127	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.constructor_SourceInputCons	40.476	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.constructor_SourceSymbol	15.543	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.constructor_SourceUnknown	10.704	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.constructor-bindings	82.569	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.instance_methods_group_finalize	0.437	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.instance-bindings	1.339	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_sourceInputNil_lower	0.557	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_sourceInputCons_lower	0.324	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_renderSpan_lower	0.309	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_basicModuleSpan_lower	0.390	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_basicModuleKeywordSpan_lower	0.332	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_basicModuleNameSpan_lower	0.414	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_basicExportKeywordSpan_lower	0.358	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_basicExportLeftParenSpan_lower	0.350	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_basicExportMainSpan_lower	0.298	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_basicExportRightParenSpan_lower	0.320	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_basicModuleLeftBraceSpan_lower	0.349	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_basicDefKeywordSpan_lower	0.302	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_basicDefNameSpan_lower	0.299	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_basicDefColonSpan_lower	0.310	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_basicBoolTypeSpan_lower	0.308	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_basicDefEqualsSpan_lower	0.338	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_basicBoolLiteralSpan_lower	0.335	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_basicDefSemicolonSpan_lower	0.433	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_basicModuleRightBraceSpan_lower	0.344	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_basicMainDefSpan_lower	0.389	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_basicUnexpectedSpan_lower	0.346	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_lexerUnknownSpan_lower	0.340	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_importBoolModuleSpan_lower	0.316	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_importBoolModuleNameRefSpan_lower	0.334	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_importBoolExportMainSpan_lower	0.329	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_importBoolTypeSpan_lower	0.298	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_importBoolMainDefSpan_lower	0.307	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_importBoolSemicolonSpan_lower	0.314	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_importBoolDefEqualsSpan_lower	0.320	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_valueModuleSpan_lower	0.294	1
