benchmark	path	metric	runs	min_ms	median_ms	max_ms	mean_ms	values_ms
parser-library	test/programs/compiler-parser-parity/parser-library	program.cli.parse-args	1	0.781	0.781	0.781	0.781	0.781
parser-library	test/programs/compiler-parser-parity/parser-library	program.cli.load-package	1	1.815	1.815	1.815	1.815	1.815
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module-graph	1	1.850	1.850	1.850	1.850	1.850
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module-order	1	0.269	0.269	0.269	0.269	0.269
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.normalize-type-families	1	1.087	1.087	1.087	1.087	1.087
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.reject-generalized-class-features	1	0.424	0.424	0.424	0.424	0.424
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.resolve	1	12.769	12.769	12.769	12.769	12.769
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.modules.distinct	1	0.288	0.288	0.288	0.288	0.288
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.Prelude.cache	1	663.833	663.833	663.833	663.833	663.833
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module-interface.Prelude	1	0.317	0.317	0.317	0.317	0.317
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.ParserParitySource.preflight	1	0.383	0.383	0.383	0.383	0.383
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.ParserParitySource.import-scope	1	0.353	0.353	0.353	0.353	0.353
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.ParserParitySource.local-data	1	0.445	0.445	0.445	0.445	0.445
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.ParserParitySource.local-classes	1	0.398	0.398	0.398	0.398	0.398
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.ParserParitySource.local-defs	1	1.594	1.594	1.594	1.594	1.594
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.ParserParitySource.local-values	1	0.490	0.490	0.490	0.490	0.490
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.ParserParitySource.scopes	1	0.428	0.428	0.428	0.428	0.428
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.ParserParitySource.validations	1	0.397	0.397	0.397	0.397	0.397
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.ParserParitySource.derived-instances	1	0.362	0.362	0.362	0.362	0.362
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.ParserParitySource.instance-skeletons	1	0.381	0.381	0.381	0.381	0.381
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.ParserParitySource.finalize-context	1	0.908	0.908	0.908	0.908	0.908
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.constructor_SourceInputNil	1	13.127	13.127	13.127	13.127	13.127
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.constructor_SourceInputCons	1	40.476	40.476	40.476	40.476	40.476
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.constructor_SourceSymbol	1	15.543	15.543	15.543	15.543	15.543
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.constructor_SourceUnknown	1	10.704	10.704	10.704	10.704	10.704
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.ParserParitySource.constructor-bindings	1	82.569	82.569	82.569	82.569	82.569
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.instance_methods_group_finalize	1	0.437	0.437	0.437	0.437	0.437
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.ParserParitySource.instance-bindings	1	1.339	1.339	1.339	1.339	1.339
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_sourceInputNil_lower	1	0.557	0.557	0.557	0.557	0.557
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_sourceInputCons_lower	1	0.324	0.324	0.324	0.324	0.324
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_renderSpan_lower	1	0.309	0.309	0.309	0.309	0.309
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_basicModuleSpan_lower	1	0.390	0.390	0.390	0.390	0.390
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_basicModuleKeywordSpan_lower	1	0.332	0.332	0.332	0.332	0.332
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_basicModuleNameSpan_lower	1	0.414	0.414	0.414	0.414	0.414
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_basicExportKeywordSpan_lower	1	0.358	0.358	0.358	0.358	0.358
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_basicExportLeftParenSpan_lower	1	0.350	0.350	0.350	0.350	0.350
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_basicExportMainSpan_lower	1	0.298	0.298	0.298	0.298	0.298
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_basicExportRightParenSpan_lower	1	0.320	0.320	0.320	0.320	0.320
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_basicModuleLeftBraceSpan_lower	1	0.349	0.349	0.349	0.349	0.349
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_basicDefKeywordSpan_lower	1	0.302	0.302	0.302	0.302	0.302
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_basicDefNameSpan_lower	1	0.299	0.299	0.299	0.299	0.299
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_basicDefColonSpan_lower	1	0.310	0.310	0.310	0.310	0.310
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_basicBoolTypeSpan_lower	1	0.308	0.308	0.308	0.308	0.308
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_basicDefEqualsSpan_lower	1	0.338	0.338	0.338	0.338	0.338
