benchmark	path	metric	runs	min_ms	median_ms	max_ms	mean_ms	values_ms
parser-library	test/programs/compiler-parser-parity/parser-library	program.cli.parse-args	1	0.660	0.660	0.660	0.660	0.660
parser-library	test/programs/compiler-parser-parity/parser-library	program.cli.load-package	1	1.613	1.613	1.613	1.613	1.613
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module-graph	1	1.671	1.671	1.671	1.671	1.671
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module-order	1	0.229	0.229	0.229	0.229	0.229
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.normalize-type-families	1	0.964	0.964	0.964	0.964	0.964
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.reject-generalized-class-features	1	0.320	0.320	0.320	0.320	0.320
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.resolve	1	14.711	14.711	14.711	14.711	14.711
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.modules.distinct	1	0.429	0.429	0.429	0.429	0.429
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.Prelude.preflight	1	0.415	0.415	0.415	0.415	0.415
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.Prelude.import-scope	1	0.308	0.308	0.308	0.308	0.308
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.Prelude.local-data	1	0.426	0.426	0.426	0.426	0.426
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.Prelude.local-classes	1	0.318	0.318	0.318	0.318	0.318
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.Prelude.local-defs	1	0.465	0.465	0.465	0.465	0.465
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.Prelude.local-values	1	0.313	0.313	0.313	0.313	0.313
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.Prelude.scopes	1	0.273	0.273	0.273	0.273	0.273
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.Prelude.validations	1	0.398	0.398	0.398	0.398	0.398
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.Prelude.derived-instances	1	0.511	0.511	0.511	0.511	0.511
