benchmark	path	run	metric	value_ms	status
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.cli.parse-args	0.389	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.cli.load-package	1.478	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module-graph	1.744	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module-order	0.269	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.normalize-type-families	0.974	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.reject-generalized-class-features	0.375	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.resolve	12.545	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.modules.distinct	0.355	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.Prelude.cache	687.295	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module-interface.Prelude	0.282	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.preflight	0.370	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.import-scope	0.368	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.local-data	0.341	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.local-classes	0.331	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.local-defs	1.493	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.local-values	0.512	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.scopes	0.436	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.validations	0.383	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.derived-instances	0.372	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.instance-skeletons	0.361	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.finalize-context	0.725	1
