benchmark	path	run	metric	value_ms	status
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.cli.parse-args	0.419	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.cli.load-package	1.311	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module-graph	1.749	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module-order	0.236	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.normalize-type-families	0.781	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.reject-generalized-class-features	0.331	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.resolve	11.661	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.modules.distinct	0.276	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.Prelude.preflight	0.252	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.Prelude.import-scope	0.259	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.Prelude.local-data	0.314	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.Prelude.local-classes	0.276	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.Prelude.local-defs	0.455	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.Prelude.local-values	0.310	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.Prelude.scopes	0.271	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.Prelude.validations	0.344	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.Prelude.derived-instances	0.333	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.Prelude.instance-skeletons	0.388	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.Prelude.finalize-context	1.725	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.Prelude.constructor_Nil	6.633	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.Prelude.constructor_Cons	14.379	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.Prelude.constructor_Zero	6.406	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.Prelude.constructor_Succ	14.125	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.Prelude.constructor_None	3.573	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.Prelude.constructor_Some	5.234	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.Prelude.constructor_Unit	2.851	1
