benchmark	path	metric	runs	min_ms	median_ms	max_ms	mean_ms	values_ms
parser-library	test/programs/compiler-parser-parity/parser-library	program.cli.parse-args	1	0.419	0.419	0.419	0.419	0.419
parser-library	test/programs/compiler-parser-parity/parser-library	program.cli.load-package	1	1.311	1.311	1.311	1.311	1.311
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module-graph	1	1.749	1.749	1.749	1.749	1.749
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module-order	1	0.236	0.236	0.236	0.236	0.236
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.normalize-type-families	1	0.781	0.781	0.781	0.781	0.781
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.reject-generalized-class-features	1	0.331	0.331	0.331	0.331	0.331
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.resolve	1	11.661	11.661	11.661	11.661	11.661
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.modules.distinct	1	0.276	0.276	0.276	0.276	0.276
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.Prelude.preflight	1	0.252	0.252	0.252	0.252	0.252
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.Prelude.import-scope	1	0.259	0.259	0.259	0.259	0.259
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.Prelude.local-data	1	0.314	0.314	0.314	0.314	0.314
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.Prelude.local-classes	1	0.276	0.276	0.276	0.276	0.276
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.Prelude.local-defs	1	0.455	0.455	0.455	0.455	0.455
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.Prelude.local-values	1	0.310	0.310	0.310	0.310	0.310
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.Prelude.scopes	1	0.271	0.271	0.271	0.271	0.271
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.Prelude.validations	1	0.344	0.344	0.344	0.344	0.344
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.Prelude.derived-instances	1	0.333	0.333	0.333	0.333	0.333
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.Prelude.instance-skeletons	1	0.388	0.388	0.388	0.388	0.388
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.Prelude.finalize-context	1	1.725	1.725	1.725	1.725	1.725
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.Prelude.constructor_Nil	1	6.633	6.633	6.633	6.633	6.633
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.Prelude.constructor_Cons	1	14.379	14.379	14.379	14.379	14.379
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.Prelude.constructor_Zero	1	6.406	6.406	6.406	6.406	6.406
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.Prelude.constructor_Succ	1	14.125	14.125	14.125	14.125	14.125
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.Prelude.constructor_None	1	3.573	3.573	3.573	3.573	3.573
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.Prelude.constructor_Some	1	5.234	5.234	5.234	5.234	5.234
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.Prelude.constructor_Unit	1	2.851	2.851	2.851	2.851	2.851
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.module.Prelude.constructor-bindings	1	56.085	56.085	56.085	56.085	56.085
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.Prelude.instance_1_Eq_Nat_lookup	1	0.235	0.235	0.235	0.235	0.235
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.Prelude.instance_1_Eq_Nat_method_eq_lower	1	0.483	0.483	0.483	0.483	0.483
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.Prelude.instance_2_Eq_Option_a_lookup	1	0.252	0.252	0.252	0.252	0.252
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.Prelude.instance_2_Eq_Option_a_method_eq_lower	1	0.323	0.323	0.323	0.323	0.323
